"filename", "language", "TypeScript", "CSS", "JSON", "JSON with Comments", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\rober\Desktop\otc-app\src\modules\catalog\hooks\use-get-city.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\catalog\hooks\use-get-device-type.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\catalog\hooks\use-get-responsive-devices.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\rober\Desktop\otc-app\src\modules\catalog\hooks\use-get-specific-alarm.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\rober\Desktop\otc-app\src\modules\catalog\infraestructure\services\get-city.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\rober\Desktop\otc-app\src\modules\catalog\infraestructure\services\get-device-type.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\rober\Desktop\otc-app\src\modules\catalog\infraestructure\services\get-response-devices.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\rober\Desktop\otc-app\src\modules\catalog\infraestructure\services\get-specific-alarm.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\domain\entities\address.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\domain\entities\alarm-defendant-params.ts", "TypeScript", 29, 0, 0, 0, 0, 9, 6, 44
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\domain\entities\defendant-by-id.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 1, 25
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\domain\entities\defendant-device.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\domain\entities\defendant.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\rober\Desktop\otc-app\src\modules\defendants\domain\entities\geoJSON.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 4, 18
